Id,Pattern presented,Description,Source 1,Source 2,Publication Year,Field of origin,Source 1,Source 2,,,,,
Pattern182,INFRASTRUCTURE USAGE WITH PLATFORMS,This information model pattern provides concepts for describing reusable bundles of infrastructure components called infrastructure platforms which are used by business applications,P15,,2015,EAM,"Schneider, A. W., & Matthes, F. (2015). Evolving the EAM pattern language. The 20th European Conference, 1–11. https://doi.org/10.1145/2855321.2855367",#N/D,,,,,
Pattern183,Pre-result recruitment,"Since pre-result timeframe increases the time available for applicant, services such as re-application, re- assessment, and re-offer can be all supported. Conditional offers can be extended. Different selection stages, cutoffs, and batches can be applied. Organizations are able to recover incidents such as withdrawal and offer rejection in a simple way. A strong relationship with applicants can be built using communication tools over time. Other fallback services such as the upgrade of offer when higher qualifications than needed are obtained, or providing alternative offers when the conditional offer is mismatched",P16,,2015,e-recruitment,"Alamro, S., Dogan, H., & Phalp, K. (2015). Forming Enterprise Recruitment Pattern Based on Problem-Oriented Conceptual Model. Procedia Computer Science, 64, 298–305. https://doi.org/10.1016/j.procs.2015.08.493",#N/D,,,,,
Pattern184,Distributor Pattern Example,The solution consists in the deployment of a server called distributor in remote locations acting as a proxy. The distributor is connected over a WAN link to the central location where the systems management solution resides and over LAN links to agents residing in remote systems. The use of a distributor provides efficient package distribution to remote locations with limited bandwidth,P17,,2010,IT service management,"da Silva, L. F., & e Abreu, F. B. (2010). Patterns for IT Infrastructure Design. Proceedings of the 15th European Conference on Pattern Languages of Programs (EuroPLoP’2010), 1–8.",#N/D,,,,,
Pattern185,Internal change pattern,depicts changes in BP when BP internal possibilities are used,P18,,2011,Change management,"Makna, J., & Kirikova, M. (2011). Patterns-based is change management in smes. In W. W. Song, S. Xu, C. Wan, Y. Zhong, W. Wojtkowski, G. Wojtkowski, & H. Linger (Eds.), Information Systems Development: Asian Experiences (pp. 55–66). https://doi.org/10.1007/978-1-4419-7355-9_5",#N/D,,,,,
Pattern186,Extrec change pattern,depicts changes of elements when BP receives activities from related BP or external environment,P18,,2011,Change management,"Makna, J., & Kirikova, M. (2011). Patterns-based is change management in smes. In W. W. Song, S. Xu, C. Wan, Y. Zhong, W. Wojtkowski, G. Wojtkowski, & H. Linger (Eds.), Information Systems Development: Asian Experiences (pp. 55–66). https://doi.org/10.1007/978-1-4419-7355-9_5",#N/D,,,,,
Pattern187,Extsend change pattern,depicts changes of elements when BP sends (hands over) some activities to related BP(s),P18,,2011,Change management,"Makna, J., & Kirikova, M. (2011). Patterns-based is change management in smes. In W. W. Song, S. Xu, C. Wan, Y. Zhong, W. Wojtkowski, G. Wojtkowski, & H. Linger (Eds.), Information Systems Development: Asian Experiences (pp. 55–66). https://doi.org/10.1007/978-1-4419-7355-9_5",#N/D,,,,,
Pattern188,Centralised Manual Data Acquisition/Maintenance,"Architecture artefacts of a certain type (class) are maintained in the EA repository by a central role, usually the enterprise architects.",P19,,2009,EAM,"Moser, C., Junginger, S., Brückmann, M., & Schöne, K.-M. (2009). Some Process Patterns for Enterprise Architecture Management. Software Engineering 2009 – Workshopband, 19–30.",#N/D,,,,,
Pattern189,Decentralised Manual Data Acquisition/Maintenance,Parts of the EA repository are manually maintained by domain experts,P19,,2009,EAM,"Moser, C., Junginger, S., Brückmann, M., & Schöne, K.-M. (2009). Some Process Patterns for Enterprise Architecture Management. Software Engineering 2009 – Workshopband, 19–30.",#N/D,,,,,
Pattern190,Automatic Data Acquisition/Maintenance,This process pattern allows for keeping the EA and corresponding architecture models automatically up-to-date and consistent by importing models not controlled by the EA architects,P19,,2009,EAM,"Moser, C., Junginger, S., Brückmann, M., & Schöne, K.-M. (2009). Some Process Patterns for Enterprise Architecture Management. Software Engineering 2009 – Workshopband, 19–30.",#N/D,,,,,
Pattern191,Architecture Control by Applying a Release Workflow,The objective of applying a Release Workflow is to ensure that only authorised and identifiable architecture artefacts are recorded within the EA repository.,P19,,2009,EAM,"Moser, C., Junginger, S., Brückmann, M., & Schöne, K.-M. (2009). Some Process Patterns for Enterprise Architecture Management. Software Engineering 2009 – Workshopband, 19–30.",#N/D,,,,,
Pattern192,Lifecycle Management,"The objective is to evaluate the state of architecture artefacts and to pick retirement candidates, to keep the EA as consolidated as possible",P19,,2009,EAM,"Moser, C., Junginger, S., Brückmann, M., & Schöne, K.-M. (2009). Some Process Patterns for Enterprise Architecture Management. Software Engineering 2009 – Workshopband, 19–30.",#N/D,,,,,
Pattern193,Verification and Audit,"Audits confirm that the artefacts of the EA conform to the agreed standard andverify, if the current situation(real world) reflects the details in the EA repository",P19,,2009,EAM,"Moser, C., Junginger, S., Brückmann, M., & Schöne, K.-M. (2009). Some Process Patterns for Enterprise Architecture Management. Software Engineering 2009 – Workshopband, 19–30.",#N/D,,,,,
Pattern201,“Hybrid model / Gap-exploiter model” ,"Employing a hybrid model that combines a durable product and short-lived consumables. That is, selling a long-lasting device, such as a copier, and remanufacturing its short-lived parts, such as toner cartridges, where the company obtains revenues mainly from the consumables. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern202,“Maximise material productivity and energy efficiency” ,"Seeking to improve resource efficiency, reduce waste and emissions through product and process redesign, such as lean manufacturing, eco-efficiency (Factor 4 and Natural Capitalism), and cleaner production.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern203,“Product Design” ,"Offering responsible and sustainable products that last, increase users' eco-efficiency, and are reusable, repairable, and/or recyclable. Risks in production and use are reduced, e.g. toxicity. This allows replacing inefficient and harmful product designs. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern204,“Substitute with renewables and natural processes”,"Substituting finite and non-recyclable production inputs with renewable resources and designing processes based on nature-inspired principles, e.g. closing material and energy cycles.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern205,“Co-Product Generation” ,"Using the by-products from product generation as input for additional products that can be used by the company itself or sold on the market. This allows reducing waste, optimizing material flows, and increasing revenues.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern206,“Industrial Symbiosis” ,"Employing a shared or cascaded use of resources, by-products, and waste materials among different actors on a commercial basis. Establishing inter-firm exchanges and linkages driven by the need to reduce virgin inputs, waste, and costs. This allows reducing waste and optimizing material flows among multiple organizations.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern207,“Online Waste Exchange Platform” ,"Creating an electronic marketplace for waste that matches supply and demand, enabling the exchange of waste between actors and retaining the value contained in materials. Companies providing such services gain earnings from commissions on transactions. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern208,“Product Recycling” ,"Recycling used products in such a way that their base materials are recovered and most of their embodied value (energy, labor, financial capital) is retained. This allows gaining access to resources and retaining the value contained in materials.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern209,“Remanufacturing / Next Life Sales” ,"Used products flow (back) to a manufacturer who repairs or replaces product components, incl. cosmetic updates (refurbishment), or disassembles products to reuse their components in “as new” products (remanufacturing). This allows retaining the value contained in products and creating new revenue sources.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern210,“Repair” ,"Products remain the customer’s property, but broken or used products are repaired and/or maintained by a service provider. The same products are used again and longer, and the value they contain is retained. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern211,“Reuse” ,"Used products flow (back) to a service provider and/or distributor, either directly or via an intermediary, and are then resold, maybe in slightly enhanced form. This allows retaining the value contained in products and creating new revenue sources.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern212,“Take Back Management” ,Implementing channels and management systems to recover products or parts from customers and distributors. This allows bringing back products or parts to manufacturers.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern213,“Upgrading” ,Replacing outdated components that are part of products in use with technologically superior or updated components. This allows using working products as long as possible.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern214,“Green Supply Chain Management” ,Sourcing raw inputs and components in the most eco-friendly way possible and reducing or even eliminating toxic inputs. Suppliers are urged to commit to green supply chain management. Partners and networks are crucial for green supply chains.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern215,“Inclusive Sourcing”,"Integrating local, low-income or less skilled suppliers into the supply chains of existing for-profit companies. This can require providing financial support and training opportunities to develop local suppliers’ capabilities. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern216,“Micro Distribution and Retail” ,"Offering products and services that match customers’ cash-flows (e.g., small-sized product units) and employing specialized, independent distributors. This can require strengthening existing retail outlets and delivery channels through training and financing partners as local vendors.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern217,“Physical to Virtual”,"Introducing virtual customer relationships and channels, and only a few or no retail outposts. Making use of third-party platforms, e.g. “shop-in-shop” models. This allows increasing resource efficiency and scalability of product distribution",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern218,“Produce on Demand”,"Producing a product only when consumer demand is verified, e.g. via online platforms that allow customers to place pre-orders, to vote on preferred products or even to design their own products. This allows reducing overproduction and inefficient use of resources.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern219,“Shorter Supply Chains” ,"Reducing the length and complexity of supply chains, e.g. spatially, through less and closer partner and customer relationships. Improving transparency, e.g. by reducing the number of connections or knowledge sharing with suppliers.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern220,"“Buy One, Give One”","Donating goods or services in a fixed ratio to regular sales. Costs can be covered by regular sales revenues, third-party donations or social investors.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern221,“Commercially Utilized Social Mission” ,"Offering a product or service for free to a social target group while earning revenues from commercial customers, e.g. based on the information generated by the social target group. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern222,“Building a Marketplace”,"Creating a new marketing system for otherwise neglected customer segments, by building new customer relationships, distribution channels, and revenue models. This allows offering products and services that take into account the needs of social target groups and their varying education and income levels. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern223,“e-Transaction Platforms” ,Offering cashless accounts and payment systems to social target groups without bank access. These accounts are used in combination with e-transaction platforms that enable transactions between product and service providers and customers.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern224,“Experience-Based Customer Credit” ,"Providing access to credit (as a non-bank) based on former experience with the customer, instead of formal bank applications. Lending is not based on a customer’s credit history, but on other transactions in the past. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern225,“Last-Mile Grid Utilities” ,"Providing basic supplies through extended grid coverage and bundling financing (e.g., tiered pricing), technology (e.g., smart metering), and customer service (e.g., maintenance) to minimize technical and commercial losses and ensure that customers are paying.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern226,“Value-for-Money Degrees”,"Providing access to higher education to everyone, including those with low income, by making higher education affordable. E.g. through standardized and modular curricula, hiring part-time instructors, on-site and distance learning, offering flexible financing options.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern227,“Value-for-Money Housing” ,"Offering affordable home ownership by bundling high value for money homes (e.g., efficient design), facilitating access to financing (e.g., third-party financing), and customer support (e.g., customer training). ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern228,“Expertise Broker” ,"Accumulating problem-specific know-how as a resource. This know-how is derived from affected persons’ experiences and is used to educate, train, and help social target groups. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern229,“Market-Oriented Social Mission” ,Offering opportunities to excluded social target groups to engage as productive and paid workforce. They can help in generating market revenues. Training and capability development might be required.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern230,“One-Sided Social Mission” ,Launching a dedicated project/organization aimed at satisfying the consumption need of a target group that does not have sufficient funds to pay for a product or service. The social mission is largely funded by social investors and supported by volunteers. ,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern231,“Social Business Model: Empowerment”,Launching an enterprise owned and run by the social target group to generate market-based revenues and even make profits. The social target group benefits from income and business opportunities.,P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern232,“Two-Sided Social Mission” ,"Offering a platform, maybe third party-funded, to match two social target groups, one on the production and one on the consumption side. The group on the production side offers free production support for the consuming social target group. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern233,“Pay for Success” ,"Employing success-based contracting, usually between providers of a new product or service and the client, in which payments depend on meeting a pre-defined success level. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern234,“Product-oriented Services” ,"The business model is still mainly geared towards sales of products, but some extra services are added. The product is usually owned by the customer. Customers pay for the product and product-related services offered by the provider.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern235,“Result-oriented Services” ,"The client and provider in principle agree on a result, and there is no pre-determined product involved. The service provider owns the product and is responsible for its use. This creates more accountability within the broader system for product disposal, and higher likelihood of product repair, reuse and recycling. The customer pays for an outcome and not for buying or using a particular product. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern236,“Use-oriented Services” ,"The traditional product still plays a central role, but the business model is not geared towards selling products. The product usually stays in ownership with the provider and can be shared by a number of users. Customers pay e.g. a leasing, renting or service fee for the use and performance of a particular product.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern237,“Cooperative Ownership”,"The cooperative model follows a multi-stakeholder approach and is therefore owned and managed by cooperative members. Members can be retail consumers, users of services, employees, suppliers, or the local community, for example. ",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern238,“Sharing Business” ,"Sharing, or collaborative consumption, is about matching the supplier side of a platform with the demand side of that platform. The product is shared among a number of users, whenever the individual user needs access to the product. Sharing models have in common that the consumer does not pay for buying a product but only for using it.",P21,,2018,Sustainable business models,"Lüdeke-Freund, F., Carroux, S., Joyce, A., Massa, L., & Breuer, H. (2018). The sustainable business model pattern taxonomy—45 patterns to support sustainability-oriented business model innovation. Sustainable Production and Consumption. https://doi.org/10.1016/j.spc.2018.06.004",#N/D,,,,,
Pattern044,Sustainable resource company,makes large efforts to analyze and develop its supply chains with regard to conflict-free mining in high-risk areas. The,P7,,2019,Sustainable business models,"Zufall, J., Norris, S., Schaltegger, S., Revellio, F., & Hansen, E. G. (2019). Business model patterns of sustainability pioneers - Analyzing cases across the smartphone life cycle. Journal of Cleaner Production, 118651. https://doi.org/10.1016/j.jclepro.2019.118651",#N/D,,,,,
Pattern045,Sustainable manufacturer,"Sustainable manufacturers engage and develop their suppliers to reduce worker and human rights violations as well as ecological damages in the supply chain in two ways. First, they adopt responsible sourcing practices for critical materials (e.g. gold) in collaboration, for instance with sustainable resource companies. Second, they
exert more control over the production of their device, through either demanding higher standards from contract manufacturers or re-internalizing production.",P7,,2019,Sustainable business models,"Zufall, J., Norris, S., Schaltegger, S., Revellio, F., & Hansen, E. G. (2019). Business model patterns of sustainability pioneers - Analyzing cases across the smartphone life cycle. Journal of Cleaner Production, 118651. https://doi.org/10.1016/j.jclepro.2019.118651",#N/D,,,,,
Pattern046,Sufficiency-advocating network provider,… Offers … with integrated monthly donations for socio-ecological projects chosen by the customer. the SBM only covers the contract side in the distribution phase while actively promoting alternatives to the consumption of a new smartphone.,P7,,2019,Sustainable business models,"Zufall, J., Norris, S., Schaltegger, S., Revellio, F., & Hansen, E. G. (2019). Business model patterns of sustainability pioneers - Analyzing cases across the smartphone life cycle. Journal of Cleaner Production, 118651. https://doi.org/10.1016/j.jclepro.2019.118651",#N/D,,,,,
Pattern047,Usage-extending distributor ,"First, these actors distribute smartphones that can be used over a long period of time, including models of sustainable manufacturers. Second, the business model enables longer use of a device by either the same or a different user through complementary offers",P7,,2019,Sustainable business models,"Zufall, J., Norris, S., Schaltegger, S., Revellio, F., & Hansen, E. G. (2019). Business model patterns of sustainability pioneers - Analyzing cases across the smartphone life cycle. Journal of Cleaner Production, 118651. https://doi.org/10.1016/j.jclepro.2019.118651",#N/D,,,,,
Pattern048,Refurbishing and repair gap-exploiter,"The independent pioneers deploying this pattern increase the overall lifetime of conventional smartphones, as a difference to sustainable manufacturers who improve the lifespan of their own sustainable smartphones",P7,,2019,Sustainable business models,"Zufall, J., Norris, S., Schaltegger, S., Revellio, F., & Hansen, E. G. (2019). Business model patterns of sustainability pioneers - Analyzing cases across the smartphone life cycle. Journal of Cleaner Production, 118651. https://doi.org/10.1016/j.jclepro.2019.118651",#N/D,,,,,
Pattern049,Refurbishing and Waste electrical and electronic equipment (WEEE) service provider,"The refurbishing and WEEE service provider (Table 9), represented in our sample by the AfB Group, spans the usage and end-of- life phases by offering device take-back and recycling or remar- keting services to business customers. Depending on the residual value ofthe smartphones, i.e. their resale potential, devices are either refurbished and then resold to consumers for prolonged usage, or safely recycled via partners.",P7,,2019,Sustainable business models,"Zufall, J., Norris, S., Schaltegger, S., Revellio, F., & Hansen, E. G. (2019). Business model patterns of sustainability pioneers - Analyzing cases across the smartphone life cycle. Journal of Cleaner Production, 118651. https://doi.org/10.1016/j.jclepro.2019.118651",#N/D,,,,,
Pattern050,Waste electrical and electronic equipment (WEEE) service provider,"This pattern (Table 10), represented by binee, take-e-way, and
Closing the Loop, exhibits a breadth of designs with the goal to close resource loops, thereby diverting harmful waste from landfills or human exposure. the SBM offers business-to-business services to fund these activities",P7,,2019,Sustainable business models,"Zufall, J., Norris, S., Schaltegger, S., Revellio, F., & Hansen, E. G. (2019). Business model patterns of sustainability pioneers - Analyzing cases across the smartphone life cycle. Journal of Cleaner Production, 118651. https://doi.org/10.1016/j.jclepro.2019.118651",#N/D,,,,,
Pattern239,ITIL Overview model,"The objective of ITIL Service Strategy is to decide on a strategy to serve customers. Starting from an assessment of customer needs and the market place, the Service Strategy lifecycle stage determines which services the IT organization is to offer and what capabilities need to be developed. Its ultimate goal is to make the IT organization think and act in a strategic manner.",P22,,2013,IT service management,"Vicente, M., Gama, N., & Silva, M. M. Da. (2013). Using archimate to represent ITIL metamodel. Proceedings - 2013 IEEE International Conference on Business Informatics, IEEE CBI 2013, 270–275. https://doi.org/10.1109/CBI.2013.45",#N/D,,,,,
Pattern240,Service operation model,"he objective of ITIL Service Operation is to make sure that IT services are delivered effectively and efficiently. The Service Operation lifecycle stage includes the fulfilling of user requests, resolving service failures, fixing problems, as well as carrying out routine operational tasks.",P22,,2013,IT service management,"Vicente, M., Gama, N., & Silva, M. M. Da. (2013). Using archimate to represent ITIL metamodel. Proceedings - 2013 IEEE International Conference on Business Informatics, IEEE CBI 2013, 270–275. https://doi.org/10.1109/CBI.2013.45",#N/D,,,,,
Pattern241,Incident management model,Incident Management aims to manage the lifecycle of all Incidents (unplanned interruptions or reductions in quality of IT services). The primary objective of this ITIL process is to return the IT service to users as quickly as possible,P22,,2013,IT service management,"Vicente, M., Gama, N., & Silva, M. M. Da. (2013). Using archimate to represent ITIL metamodel. Proceedings - 2013 IEEE International Conference on Business Informatics, IEEE CBI 2013, 270–275. https://doi.org/10.1109/CBI.2013.45",#N/D,,,,,
Pattern242,Sequence,A task in a process in enabled after the completion of a preceding task in the same process.,P24,,2011,Business Process Modeling,"van der Aalst, W. M. P., & Hofstede, A. ter. (2011). Workflow patterns. Retrieved October 21, 2019, from http://www.workflowpatterns.com/",#N/D,,,,,
Pattern243,Parallel Split,The divergence of a branch into two or more parallel branches each of which execute concurrently.,P24,,2011,Business Process Modeling,"van der Aalst, W. M. P., & Hofstede, A. ter. (2011). Workflow patterns. Retrieved October 21, 2019, from http://www.workflowpatterns.com/",#N/D,,,,,
